901632    Automotriz Ruedas Timones y Motores
   057-44152914     322.8
   113-67025186    2087.8
   275-28322252     479.2
   309-36135713     815.9
   313-98292061     338.6
   401-97321595    1248.8
   716-58243683     386.7
   716-87498316     539.3
   781-15449262      15.7
   783-52290463     253.4
713660    Banco de la construccion
   056-18779507     151.7
   136-76351450     394.1
   236-56613716     367.2
   242-63936882     227.6
   275-28322252     862.1
   401-97321595    1293.1
   834-49819522     502.3
377774    Bodegas unificadas
   056-18779507     221.1
   136-76351450       235
   178-27224681     240.5
   187-86421298     148.9
   236-56613716    1057.3
   434-27911768     597.6
   546-45953657     824.2
145909    Centro comercial Los Manzanos
   013-24469009     537.4
   173-96732396     155.4
   249-19444962       395
   276-71103551     504.1
   287-48798798    1754.8
   783-52290463     420.9
   795-86756662     893.6
   834-49819522     200.7
549168    Chocolates Naomi
   057-44152914     303.4
   108-63537644     799.2
   113-67025186       234
   178-27224681     220.2
   187-86421298     367.2
   242-63936882        87
   249-19444962     636.4
   275-28322252       481
   309-36135713      1099
   344-36935194     112.9
   434-27911768     294.2
   684-29822272      30.5
   716-87498316     355.2
   745-64815852     277.5
   781-15449262     405.2
   795-86756662     453.3
   834-49819522     357.1
733117    Financiera Los millones
   108-63537644    2048.8
   287-48798798    1784.5
   684-29822272        50
   745-64815852     583.7
   781-15449262     659.5
798879    Gasolineras El combustible S. A.
   056-18779507     264.6
   136-76351450     109.2
   173-96732396      54.6
   187-86421298     630.8
   242-63936882     211.8
   249-19444962     341.3
   275-28322252    1910.1
   434-27911768     518.9
   457-19658761     355.2
   546-45953657     249.8
   577-85431366       271
   716-87498316     317.3
   783-52290463     105.5
   795-86756662     105.5
151156    Gimnasios Dorados
   056-18779507    2020.4
   108-63537644     904.7
   249-19444962     174.8
   276-71103551     322.8
   287-48798798     144.3
   471-23825809     286.8
   684-29822272     566.1
   716-58243683     379.3
   716-87498316     504.1
   781-15449262      1888
728374    Inmobiliaria Las casonas
   013-24469009     693.7
   136-76351450    1061.9
   178-27224681    2378.3
   344-36935194     414.4
   363-51012379     371.9
   401-97321595     202.6
   434-27911768     163.7
   457-19658761     542.1
   471-23825809     475.5
   546-45953657     228.5
   684-29822272     469.9
   716-87498316      92.5
   781-15449262     472.7
273041    Librerias grandiosas
   056-18779507    1147.1
   249-19444962     225.7
   275-28322252     228.5
   313-98292061     560.6
   344-36935194     191.5
   401-97321595     964.8
   716-87498316    1073.9
   781-15449262     600.4
   795-86756662     305.3
661959    Panaderia y pasteleria Valentina
   013-24469009      32.4
   057-44152914    2077.7
   178-27224681      1604
   313-98292061     278.4
   344-36935194     417.2
   457-19658761     440.3
   546-45953657    2044.3
   795-86756662      39.8
195945    Seguros El riesgoso
   056-18779507     476.4
   108-63537644     549.5
   113-67025186     137.8
   173-96732396     332.1
   236-56613716     294.2
   309-36135713     428.3
   313-98292061      1480
   783-52290463     941.7
   795-86756662     383.9
717867    Supermercados Verdes
   115-83542602     528.2
   136-76351450     358.9
   178-27224681      1727
   276-71103551     518.9
   363-51012379       494
   401-97321595       518
   434-27911768     183.2
   471-23825809     483.8
   546-45953657       407
   716-58243683    1640.9
942173    Taxis Los Rapidos de las carreteras
   013-24469009     642.9
   057-44152914    1152.5
   178-27224681       481
   187-86421298      71.2
   236-56613716    1870.4
   716-58243683     834.3
   716-87498316      25.9
   783-52290463     367.2
300259    Telecomunicaciones En picada
   115-83542602     556.9
   136-76351450     273.8
   249-19444962     577.2
   275-28322252     614.3
   276-71103551    1427.3
   434-27911768     513.4
   546-45953657     375.6
   577-85431366     306.2
   684-29822272      16.7
   795-86756662    1829.7
239229    Transportes seguros S. A.
   113-67025186      57.4
   136-76351450       581
   187-86421298       456
   249-19444962       444
   287-48798798     796.5
   434-27911768     900.1
   471-23825809     384.8
   546-45953657     330.2
540081    Zapateria El botin de oro
   013-24469009     166.5
   057-44152914    1132.3
   173-96732396       395
   178-27224681     260.9
   249-19444962     665.2
   275-28322252    1296.9
   434-27911768     278.4
   471-23825809     251.6
   716-58243683      87.9
   716-87498316    1007.4
