901632    Automotriz Ruedas Timones y Motores                                                                 
   057-44152914         322.80
   113-67025186        2087.80
   275-28322252         479.20
   309-36135713         815.90
   313-98292061         338.60
   401-97321595        1248.80
   716-58243683         386.70
   716-87498316         539.30
   781-15449262          15.70
   783-52290463         253.40
713660    Banco de la construccion                                                                            
   056-18779507         151.70
   136-76351450         394.10
   236-56613716         367.20
   242-63936882         227.60
   275-28322252         862.10
   401-97321595        1293.10
   834-49819522         502.30
377774    Bodegas unificadas                                                                                  
   056-18779507         221.10
   136-76351450         235.00
   178-27224681         240.50
   187-86421298         148.90
   236-56613716        1057.30
   434-27911768         597.60
   546-45953657         824.20
145909    Centro comercial Los Manzanos                                                                       
   013-24469009         537.40
   173-96732396         155.40
   249-19444962         395.00
   276-71103551         504.10
   287-48798798        1754.80
   783-52290463         420.90
   795-86756662         893.60
   834-49819522         200.70
549168    Chocolates Naomi                                                                                    
   057-44152914         303.40
   108-63537644         799.20
   113-67025186         234.00
   178-27224681         220.20
   187-86421298         367.20
   242-63936882          87.00
   249-19444962         636.40
   275-28322252         481.00
   309-36135713        1099.00
   344-36935194         112.90
   434-27911768         294.20
   684-29822272          30.50
   716-87498316         355.20
   745-64815852         277.50
   781-15449262         405.20
   795-86756662         453.30
   834-49819522         357.10
733117    Financiera Los millones                                                                             
   108-63537644        2048.80
   287-48798798        1784.50
   684-29822272          50.00
   745-64815852         583.70
   781-15449262         659.50
798879    Gasolineras El combustible S. A.                                                                    
   056-18779507         264.60
   136-76351450         109.20
   173-96732396          54.60
   187-86421298         630.80
   242-63936882         211.80
   249-19444962         341.30
   275-28322252        1910.10
   434-27911768         518.90
   457-19658761         355.20
   546-45953657         249.80
   577-85431366         271.00
   716-87498316         317.30
   783-52290463         105.50
   795-86756662         105.50
151156    Gimnasios Dorados                                                                                   
   056-18779507        2020.40
   108-63537644         904.70
   249-19444962         174.80
   276-71103551         322.80
   287-48798798         144.30
   471-23825809         286.80
   684-29822272         566.10
   716-58243683         379.30
   716-87498316         504.10
   781-15449262        1888.00
728374    Inmobiliaria Las casonas                                                                            
   013-24469009         693.70
   136-76351450        1061.90
   178-27224681        2378.30
   344-36935194         414.40
   363-51012379         371.90
   401-97321595         202.60
   434-27911768         163.70
   457-19658761         542.10
   471-23825809         475.50
   546-45953657         228.50
   684-29822272         469.90
   716-87498316          92.50
   781-15449262         472.70
273041    Librerias grandiosas                                                                                
   056-18779507        1147.10
   249-19444962         225.70
   275-28322252         228.50
   313-98292061         560.60
   344-36935194         191.50
   401-97321595         964.80
   716-87498316        1073.90
   781-15449262         600.40
   795-86756662         305.30
661959    Panaderia y pasteleria Valentina                                                                    
   013-24469009          32.40
   057-44152914        2077.70
   178-27224681        1604.00
   313-98292061         278.40
   344-36935194         417.20
   457-19658761         440.30
   546-45953657        2044.30
   795-86756662          39.80
195945    Seguros El riesgoso                                                                                 
   056-18779507         476.40
   108-63537644         549.50
   113-67025186         137.80
   173-96732396         332.10
   236-56613716         294.20
   309-36135713         428.30
   313-98292061        1480.00
   783-52290463         941.70
   795-86756662         383.90
717867    Supermercados Verdes                                                                                
   115-83542602         528.20
   136-76351450         358.90
   178-27224681        1727.00
   276-71103551         518.90
   363-51012379         494.00
   401-97321595         518.00
   434-27911768         183.20
   471-23825809         483.80
   546-45953657         407.00
   716-58243683        1640.90
942173    Taxis Los Rapidos de las carreteras                                                                 
   013-24469009         642.90
   057-44152914        1152.50
   178-27224681         481.00
   187-86421298          71.20
   236-56613716        1870.40
   716-58243683         834.30
   716-87498316          25.90
   783-52290463         367.20
300259    Telecomunicaciones En picada                                                                        
   115-83542602         556.90
   136-76351450         273.80
   249-19444962         577.20
   275-28322252         614.30
   276-71103551        1427.30
   434-27911768         513.40
   546-45953657         375.60
   577-85431366         306.20
   684-29822272          16.70
   795-86756662        1829.70
239229    Transportes seguros S. A.                                                                           
   113-67025186          57.40
   136-76351450         581.00
   187-86421298         456.00
   249-19444962         444.00
   287-48798798         796.50
   434-27911768         900.10
   471-23825809         384.80
   546-45953657         330.20
540081    Zapateria El botin de oro                                                                           
   013-24469009         166.50
   057-44152914        1132.30
   173-96732396         395.00
   178-27224681         260.90
   249-19444962         665.20
   275-28322252        1296.90
   434-27911768         278.40
   471-23825809         251.60
   716-58243683          87.90
   716-87498316        1007.40
